Inference for Bugs model at "/home/kubo/public_html/stat/iwanami/fig/hbm/model.bug.txt", fit using WinBUGS,
 3 chains, each with 2100 iterations (first 100 discarded), n.thin = 5
 n.sims = 1200 iterations saved
            mean     sd    2.5%     25%     50%     75%   97.5%  Rhat n.eff
q[88]      0.155  0.118   0.014   0.062   0.126   0.216   0.453 1.003  1200
q[89]      0.947  0.068   0.739   0.928   0.972   0.991   1.000 1.002  1200
q[90]      0.840  0.120   0.545   0.776   0.868   0.933   0.990 1.000  1200
q[91]      0.727  0.145   0.422   0.633   0.748   0.837   0.949 1.001  1200
q[92]      0.261  0.141   0.050   0.149   0.242   0.355   0.563 1.002  1200
q[93]      0.950  0.065   0.760   0.933   0.975   0.992   1.000 1.000  1200
q[94]      0.727  0.145   0.388   0.641   0.751   0.832   0.944 1.001  1200
q[95]      0.739  0.143   0.408   0.653   0.763   0.847   0.950 1.001  1200
q[96]      0.152  0.112   0.011   0.061   0.127   0.219   0.416 1.002   900
q[97]      0.055  0.069   0.000   0.009   0.031   0.071   0.261 1.003   700
q[98]      0.502  0.162   0.191   0.389   0.502   0.622   0.812 1.006  1200
q[99]      0.844  0.116   0.563   0.775   0.873   0.936   0.989 1.003  1200
q[100]     0.057  0.072   0.000   0.008   0.030   0.081   0.255 1.001  1200
deviance 224.005 13.711 200.995 214.575 223.300 232.500 253.100 1.001  1200

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = Dbar-Dhat)
pD = 79.1 and DIC = 303.1
DIC is an estimate of expected predictive error (lower deviance is better).
